,key,rule,severity,component,project,line,hash,textRange,flows,status,message,effort,debt,author,tags,creationDate,updateDate,type,scope,quickFixAvailable,messageFormattings,codeVariants,cleanCodeAttribute,cleanCodeAttributeCategory,impacts,issueStatus,prioritizedRule,resolution,closeDate
0,7ed58154-f8a5-4743-92d6-001946aad185,python:S3776,CRITICAL,apache-dubbo-python:src/dubbo/protocol/triple/invoker.py,apache-dubbo-python,69.0,cc26b7d5ee683a111fd7fd63fae7ad72,"{'startLine': 69, 'endLine': 69, 'startOffset': 8, 'endOffset': 14}","[{'locations': [{'component': 'apache-dubbo-python:src/dubbo/protocol/triple/invoker.py', 'textRange': {'startLine': 79, 'endLine': 79, 'startOffset': 8, 'endOffset': 10}, 'msg': '+1', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-dubbo-python:src/dubbo/protocol/triple/invoker.py', 'textRange': {'startLine': 88, 'endLine': 88, 'startOffset': 68, 'endOffset': 70}, 'msg': '+1', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-dubbo-python:src/dubbo/protocol/triple/invoker.py', 'textRange': {'startLine': 93, 'endLine': 93, 'startOffset': 62, 'endOffset': 64}, 'msg': '+1', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-dubbo-python:src/dubbo/protocol/triple/invoker.py', 'textRange': {'startLine': 101, 'endLine': 101, 'startOffset': 46, 'endOffset': 49}, 'msg': '+1', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-dubbo-python:src/dubbo/protocol/triple/invoker.py', 'textRange': {'startLine': 102, 'endLine': 102, 'startOffset': 8, 'endOffset': 10}, 'msg': '+1', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-dubbo-python:src/dubbo/protocol/triple/invoker.py', 'textRange': {'startLine': 104, 'endLine': 104, 'startOffset': 8, 'endOffset': 12}, 'msg': '+1', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-dubbo-python:src/dubbo/protocol/triple/invoker.py', 'textRange': {'startLine': 117, 'endLine': 117, 'startOffset': 8, 'endOffset': 10}, 'msg': '+1', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-dubbo-python:src/dubbo/protocol/triple/invoker.py', 'textRange': {'startLine': 124, 'endLine': 124, 'startOffset': 8, 'endOffset': 14}, 'msg': '+1', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-dubbo-python:src/dubbo/protocol/triple/invoker.py', 'textRange': {'startLine': 129, 'endLine': 129, 'startOffset': 8, 'endOffset': 10}, 'msg': '+1', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-dubbo-python:src/dubbo/protocol/triple/invoker.py', 'textRange': {'startLine': 133, 'endLine': 133, 'startOffset': 8, 'endOffset': 12}, 'msg': '+1', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-dubbo-python:src/dubbo/protocol/triple/invoker.py', 'textRange': {'startLine': 136, 'endLine': 136, 'startOffset': 12, 'endOffset': 14}, 'msg': '+2 (incl 1 for nesting)', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-dubbo-python:src/dubbo/protocol/triple/invoker.py', 'textRange': {'startLine': 136, 'endLine': 136, 'startOffset': 20, 'endOffset': 23}, 'msg': '+1', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-dubbo-python:src/dubbo/protocol/triple/invoker.py', 'textRange': {'startLine': 138, 'endLine': 138, 'startOffset': 16, 'endOffset': 19}, 'msg': '+3 (incl 2 for nesting)', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-dubbo-python:src/dubbo/protocol/triple/invoker.py', 'textRange': {'startLine': 145, 'endLine': 145, 'startOffset': 8, 'endOffset': 10}, 'msg': '+1', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-dubbo-python:src/dubbo/protocol/triple/invoker.py', 'textRange': {'startLine': 146, 'endLine': 146, 'startOffset': 12, 'endOffset': 14}, 'msg': '+2 (incl 1 for nesting)', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-dubbo-python:src/dubbo/protocol/triple/invoker.py', 'textRange': {'startLine': 146, 'endLine': 146, 'startOffset': 38, 'endOffset': 41}, 'msg': '+1', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-dubbo-python:src/dubbo/protocol/triple/invoker.py', 'textRange': {'startLine': 148, 'endLine': 148, 'startOffset': 12, 'endOffset': 16}, 'msg': '+1', 'msgFormattings': []}]}]",OPEN,Refactor this function to reduce its Cognitive Complexity from 21 to the 15 allowed.,11min,11min,cnzakii@gmail.com,['brain-overload'],2024-10-29T06:50:18,2025-01-20T07:08:25,CODE_SMELL,MAIN,False,[],[],FOCUSED,ADAPTABLE,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'HIGH'}]",OPEN,False,,
1,5acbb89f-c65d-4a16-9be1-11306ca33064,python:S2737,MINOR,apache-dubbo-python:src/dubbo/utils.py,apache-dubbo-python,357.0,73d4fcb0eb5deba20a796c4264c34d02,"{'startLine': 357, 'endLine': 357, 'startOffset': 12, 'endOffset': 19}",[],OPEN,Add logic to this except clause or eliminate it and rethrow the exception automatically.,5min,5min,cnzakii@gmail.com,"['error-handling', 'unused', 'finding', 'clumsy']",2024-10-29T06:50:18,2025-01-20T07:08:25,CODE_SMELL,MAIN,False,[],[],CLEAR,INTENTIONAL,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]",OPEN,False,,
2,12cb27f1-fdaa-4847-ada1-2aeff2f7cd66,python:S5886,MAJOR,apache-dubbo-python:src/dubbo/utils.py,apache-dubbo-python,244.0,0ae2cdfa5f26e86e9ecda68573a4e4bf,"{'startLine': 244, 'endLine': 244, 'startOffset': 15, 'endOffset': 65}","[{'locations': [{'component': 'apache-dubbo-python:src/dubbo/utils.py', 'textRange': {'startLine': 235, 'endLine': 235, 'startOffset': 8, 'endOffset': 25}, 'msg': 'Function definition.', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-dubbo-python:src/dubbo/utils.py', 'textRange': {'startLine': 235, 'endLine': 235, 'startOffset': 41, 'endOffset': 52}, 'msg': 'Type hint.', 'msgFormattings': []}]}]",OPEN,"Return a value of type ""list[float]"" instead of ""float"" or update function ""get_per_cpu_usage"" type hint.",5min,5min,91261012+cnzakii@users.noreply.github.com,['typing'],2024-09-06T03:37:22,2025-01-20T07:08:25,CODE_SMELL,MAIN,False,[],[],LOGICAL,INTENTIONAL,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'MEDIUM'}]",OPEN,False,,
3,fcb5eafc-3b63-456f-8470-29118ca1392d,python:S1186,CRITICAL,apache-dubbo-python:src/dubbo/proxy/callables.py,apache-dubbo-python,69.0,8d86efb14f95e485bc9d54df0d48cc62,"{'startLine': 69, 'endLine': 69, 'startOffset': 8, 'endOffset': 19}",[],OPEN,"Add a nested comment explaining why this method is empty, or complete the implementation.",5min,5min,91261012+cnzakii@users.noreply.github.com,['suspicious'],2024-08-22T02:49:21,2025-01-20T07:08:25,CODE_SMELL,MAIN,False,[],[],COMPLETE,INTENTIONAL,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'HIGH'}]",OPEN,False,,
4,c01432d9-db94-4df0-9fb3-f0d0806e7b8b,python:S1135,INFO,apache-dubbo-python:src/dubbo/registry/zookeeper/zk_registry.py,apache-dubbo-python,110.0,1f751fae31654a30a32275b006be2ef1,"{'startLine': 110, 'endLine': 110, 'startOffset': 8, 'endOffset': 41}",[],OPEN,"Complete the task associated to this ""TODO"" comment.",0min,0min,91261012+cnzakii@users.noreply.github.com,['cwe'],2024-08-22T02:49:21,2025-01-20T07:08:25,CODE_SMELL,MAIN,False,[],[],COMPLETE,INTENTIONAL,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]",OPEN,False,,
5,a41da8d2-7f60-4b22-9b12-5cc852c59716,python:S112,MAJOR,apache-dubbo-python:src/dubbo/protocol/triple/streams.py,apache-dubbo-python,67.0,73d4fcb0eb5deba20a796c4264c34d02,"{'startLine': 67, 'endLine': 67, 'startOffset': 14, 'endOffset': 15}",[],OPEN,Replace this generic exception class with a more specific one.,20min,20min,cnzakii@gmail.com,"['cwe', 'error-handling']",2024-10-29T06:50:18,2025-01-20T07:08:25,CODE_SMELL,MAIN,False,[],[],COMPLETE,INTENTIONAL,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'MEDIUM'}]",OPEN,False,,
6,08c4b6f4-5b57-453a-9068-cec2be40dc3a,python:S1192,CRITICAL,apache-dubbo-python:src/dubbo/protocol/triple/streams.py,apache-dubbo-python,228.0,44bf1100bb6cce5a11d573526b160a2f,"{'startLine': 228, 'endLine': 228, 'startOffset': 27, 'endOffset': 52}","[{'locations': [{'component': 'apache-dubbo-python:src/dubbo/protocol/triple/streams.py', 'textRange': {'startLine': 265, 'endLine': 265, 'startOffset': 27, 'endOffset': 52}, 'msg': 'Duplication', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-dubbo-python:src/dubbo/protocol/triple/streams.py', 'textRange': {'startLine': 274, 'endLine': 274, 'startOffset': 27, 'endOffset': 52}, 'msg': 'Duplication', 'msgFormattings': []}]}]",OPEN,"Define a constant instead of duplicating this literal ""Write stream is not set"" 3 times.",6min,6min,cnzakii@gmail.com,['design'],2024-10-29T06:50:18,2025-01-20T07:08:25,CODE_SMELL,MAIN,False,[],[],DISTINCT,ADAPTABLE,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'HIGH'}]",OPEN,False,,
7,71d1a4b6-dd52-43c0-b1c7-1e83925517f1,python:S2190,BLOCKER,apache-dubbo-python:samples/helloworld/client.py,apache-dubbo-python,,d971ffc8b0b002eda367c26dc1be9f1c,"{'startLine': 24, 'endLine': 24, 'startOffset': 8, 'endOffset': 13}","[{'locations': [{'component': 'apache-dubbo-python:samples/helloworld/client.py', 'textRange': {'startLine': 25, 'endLine': 25, 'startOffset': 15, 'endOffset': 25}, 'msg': 'recursive call', 'msgFormattings': []}]}]",CLOSED,Add a way to break out of this method's recursion.,30min,30min,91261012+cnzakii@users.noreply.github.com,['suspicious'],2024-08-22T01:49:21,2024-10-29T06:50:18,BUG,MAIN,False,[],[],LOGICAL,INTENTIONAL,"[{'softwareQuality': 'RELIABILITY', 'severity': 'BLOCKER'}]",FIXED,False,FIXED,2024-10-29T06:50:18
8,da4e7314-58c8-41f1-8e78-6ce16445c50e,python:S2190,BLOCKER,apache-dubbo-python:samples/registry/zookeeper/client.py,apache-dubbo-python,,d971ffc8b0b002eda367c26dc1be9f1c,"{'startLine': 31, 'endLine': 31, 'startOffset': 8, 'endOffset': 13}","[{'locations': [{'component': 'apache-dubbo-python:samples/registry/zookeeper/client.py', 'textRange': {'startLine': 32, 'endLine': 32, 'startOffset': 15, 'endOffset': 25}, 'msg': 'recursive call', 'msgFormattings': []}]}]",CLOSED,Add a way to break out of this method's recursion.,30min,30min,91261012+cnzakii@users.noreply.github.com,['suspicious'],2024-08-22T01:49:21,2024-09-06T03:37:22,BUG,MAIN,False,[],[],LOGICAL,INTENTIONAL,"[{'softwareQuality': 'RELIABILITY', 'severity': 'BLOCKER'}]",FIXED,False,FIXED,2024-09-06T03:37:22
9,65582360-2dfb-497d-8daf-6109f287b405,python:S2190,BLOCKER,apache-dubbo-python:samples/serialization/json/client.py,apache-dubbo-python,,d971ffc8b0b002eda367c26dc1be9f1c,"{'startLine': 41, 'endLine': 41, 'startOffset': 8, 'endOffset': 13}","[{'locations': [{'component': 'apache-dubbo-python:samples/serialization/json/client.py', 'textRange': {'startLine': 42, 'endLine': 42, 'startOffset': 15, 'endOffset': 25}, 'msg': 'recursive call', 'msgFormattings': []}]}]",CLOSED,Add a way to break out of this method's recursion.,30min,30min,91261012+cnzakii@users.noreply.github.com,['suspicious'],2024-08-22T01:49:21,2024-09-06T03:37:22,BUG,MAIN,False,[],[],LOGICAL,INTENTIONAL,"[{'softwareQuality': 'RELIABILITY', 'severity': 'BLOCKER'}]",FIXED,False,FIXED,2024-09-06T03:37:22
