,key,rule,severity,component,project,line,hash,textRange,flows,status,message,effort,debt,author,tags,creationDate,updateDate,type,scope,quickFixAvailable,messageFormattings,codeVariants,cleanCodeAttribute,cleanCodeAttributeCategory,impacts,issueStatus,prioritizedRule,resolution,closeDate
0,e2938a10-2f54-44bf-ad74-1dda425f19da,python:S1135,INFO,apache-incubator-hugegraph-ai:hugegraph-llm/setup.py,apache-incubator-hugegraph-ai,21.0,57df4e3ce95cbe2bdfb0e8981ec84115,"{'startLine': 21, 'endLine': 21, 'startOffset': 0, 'endOffset': 61}",[],OPEN,"Complete the task associated to this ""TODO"" comment.",0min,0min,563853580@qq.com,['cwe'],2025-03-10T11:48:08,2025-03-10T11:48:08,CODE_SMELL,MAIN,False,[],[],COMPLETE,INTENTIONAL,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]",OPEN,False,,
1,7971ec3c-09b1-4002-a228-d0b144b6e410,python:S1192,CRITICAL,apache-incubator-hugegraph-ai:hugegraph-llm/src/hugegraph_llm/demo/rag_demo/rag_block.py,apache-incubator-hugegraph-ai,104.0,ecfe567973c967f9e17e1c1627867444,"{'startLine': 104, 'endLine': 104, 'startOffset': 23, 'endOffset': 92}","[{'locations': [{'component': 'apache-incubator-hugegraph-ai:hugegraph-llm/src/hugegraph_llm/demo/rag_demo/rag_block.py', 'textRange': {'startLine': 208, 'endLine': 208, 'startOffset': 23, 'endOffset': 92}, 'msg': 'Duplication', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-incubator-hugegraph-ai:hugegraph-llm/src/hugegraph_llm/demo/rag_demo/rag_block.py', 'textRange': {'startLine': 218, 'endLine': 218, 'startOffset': 27, 'endOffset': 96}, 'msg': 'Duplication', 'msgFormattings': []}]}]",OPEN,"Define a constant instead of duplicating this literal ""Online reranker fails, automatically switches to local bleu rerank."" 3 times.",6min,6min,1073931273@qq.com,['design'],2025-03-10T11:48:08,2025-03-10T11:48:08,CODE_SMELL,MAIN,False,[],[],DISTINCT,ADAPTABLE,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'HIGH'}]",OPEN,False,,
2,51733369-eb22-4754-95b6-07b8a93fca51,python:S1192,CRITICAL,apache-incubator-hugegraph-ai:hugegraph-llm/src/hugegraph_llm/models/llms/openai.py,apache-incubator-hugegraph-ai,77.0,bb083e073e4f6e689ea0fd6300eb2f4e,"{'startLine': 77, 'endLine': 77, 'startOffset': 25, 'endOffset': 36}","[{'locations': [{'component': 'apache-incubator-hugegraph-ai:hugegraph-llm/src/hugegraph_llm/models/llms/openai.py', 'textRange': {'startLine': 112, 'endLine': 112, 'startOffset': 25, 'endOffset': 36}, 'msg': 'Duplication', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-incubator-hugegraph-ai:hugegraph-llm/src/hugegraph_llm/models/llms/openai.py', 'textRange': {'startLine': 160, 'endLine': 160, 'startOffset': 25, 'endOffset': 36}, 'msg': 'Duplication', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-incubator-hugegraph-ai:hugegraph-llm/src/hugegraph_llm/models/llms/openai.py', 'textRange': {'startLine': 198, 'endLine': 198, 'startOffset': 25, 'endOffset': 36}, 'msg': 'Duplication', 'msgFormattings': []}]}]",OPEN,"Define a constant instead of duplicating this literal ""Fatal: %s"" 4 times.",8min,8min,1073931273@qq.com,['design'],2025-03-10T11:48:08,2025-03-10T11:48:08,CODE_SMELL,MAIN,False,[],[],DISTINCT,ADAPTABLE,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'HIGH'}]",OPEN,False,,
3,48ce7293-552c-431a-9880-cb248746830b,python:S1192,CRITICAL,apache-incubator-hugegraph-ai:hugegraph-llm/src/hugegraph_llm/models/llms/openai.py,apache-incubator-hugegraph-ai,81.0,dc9cfcdf8e9601dd80c641d6bc6adc3c,"{'startLine': 81, 'endLine': 81, 'startOffset': 25, 'endOffset': 65}","[{'locations': [{'component': 'apache-incubator-hugegraph-ai:hugegraph-llm/src/hugegraph_llm/models/llms/openai.py', 'textRange': {'startLine': 116, 'endLine': 116, 'startOffset': 25, 'endOffset': 65}, 'msg': 'Duplication', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-incubator-hugegraph-ai:hugegraph-llm/src/hugegraph_llm/models/llms/openai.py', 'textRange': {'startLine': 202, 'endLine': 202, 'startOffset': 25, 'endOffset': 65}, 'msg': 'Duplication', 'msgFormattings': []}]}]",OPEN,"Define a constant instead of duplicating this literal ""The provided OpenAI API key is invalid"" 3 times.",6min,6min,1073931273@qq.com,['design'],2025-03-10T11:48:08,2025-03-10T11:48:08,CODE_SMELL,MAIN,False,[],[],DISTINCT,ADAPTABLE,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'HIGH'}]",OPEN,False,,
4,6cbc4888-3644-4d3d-8b04-5536cb424d5e,python:S1192,CRITICAL,apache-incubator-hugegraph-ai:hugegraph-llm/src/hugegraph_llm/models/llms/openai.py,apache-incubator-hugegraph-ai,82.0,3f07285c1e24faa8aa7d83ea193842b0,"{'startLine': 82, 'endLine': 82, 'startOffset': 19, 'endOffset': 66}","[{'locations': [{'component': 'apache-incubator-hugegraph-ai:hugegraph-llm/src/hugegraph_llm/models/llms/openai.py', 'textRange': {'startLine': 117, 'endLine': 117, 'startOffset': 19, 'endOffset': 66}, 'msg': 'Duplication', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-incubator-hugegraph-ai:hugegraph-llm/src/hugegraph_llm/models/llms/openai.py', 'textRange': {'startLine': 203, 'endLine': 203, 'startOffset': 18, 'endOffset': 65}, 'msg': 'Duplication', 'msgFormattings': []}]}]",OPEN,"Define a constant instead of duplicating this literal ""Error: The provided OpenAI API key is invalid"" 3 times.",6min,6min,1073931273@qq.com,['design'],2025-03-10T11:48:08,2025-03-10T11:48:08,CODE_SMELL,MAIN,False,[],[],DISTINCT,ADAPTABLE,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'HIGH'}]",OPEN,False,,
5,c2d507f5-bdbd-49d1-98b0-4be0eaac93c0,python:S1192,CRITICAL,apache-incubator-hugegraph-ai:hugegraph-llm/src/hugegraph_llm/models/llms/openai.py,apache-incubator-hugegraph-ai,84.0,daf9f0ed9252b26d8f59eedd173f8eb7,"{'startLine': 84, 'endLine': 84, 'startOffset': 22, 'endOffset': 44}","[{'locations': [{'component': 'apache-incubator-hugegraph-ai:hugegraph-llm/src/hugegraph_llm/models/llms/openai.py', 'textRange': {'startLine': 119, 'endLine': 119, 'startOffset': 22, 'endOffset': 44}, 'msg': 'Duplication', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-incubator-hugegraph-ai:hugegraph-llm/src/hugegraph_llm/models/llms/openai.py', 'textRange': {'startLine': 205, 'endLine': 205, 'startOffset': 22, 'endOffset': 44}, 'msg': 'Duplication', 'msgFormattings': []}]}]",OPEN,"Define a constant instead of duplicating this literal ""Retrying LLM call %s"" 3 times.",6min,6min,1073931273@qq.com,['design'],2025-03-10T11:48:08,2025-03-10T11:48:08,CODE_SMELL,MAIN,False,[],[],DISTINCT,ADAPTABLE,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'HIGH'}]",OPEN,False,,
6,a710b673-0386-48f9-a2bd-57310bcc58c4,python:S1135,INFO,apache-incubator-hugegraph-ai:hugegraph-llm/src/hugegraph_llm/models/llms/openai.py,apache-incubator-hugegraph-ai,195.0,44e946ebfdb88e219342ba5f2c253eb4,"{'startLine': 195, 'endLine': 195, 'startOffset': 12, 'endOffset': 84}",[],OPEN,"Complete the task associated to this ""TODO"" comment.",0min,0min,1073931273@qq.com,['cwe'],2025-03-10T11:48:08,2025-03-10T11:48:08,CODE_SMELL,MAIN,False,[],[],COMPLETE,INTENTIONAL,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]",OPEN,False,,
7,3f77e302-296c-4ddf-9a61-3a30adb71011,python:S1192,CRITICAL,apache-incubator-hugegraph-ai:hugegraph-llm/src/hugegraph_llm/models/llms/qianfan.py,apache-incubator-hugegraph-ai,44.0,79e474c8bfa3eee2226e618286826799,"{'startLine': 44, 'endLine': 44, 'startOffset': 39, 'endOffset': 77}","[{'locations': [{'component': 'apache-incubator-hugegraph-ai:hugegraph-llm/src/hugegraph_llm/models/llms/qianfan.py', 'textRange': {'startLine': 62, 'endLine': 62, 'startOffset': 39, 'endOffset': 77}, 'msg': 'Duplication', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-incubator-hugegraph-ai:hugegraph-llm/src/hugegraph_llm/models/llms/qianfan.py', 'textRange': {'startLine': 80, 'endLine': 80, 'startOffset': 39, 'endOffset': 77}, 'msg': 'Duplication', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-incubator-hugegraph-ai:hugegraph-llm/src/hugegraph_llm/models/llms/qianfan.py', 'textRange': {'startLine': 96, 'endLine': 96, 'startOffset': 39, 'endOffset': 77}, 'msg': 'Duplication', 'msgFormattings': []}]}]",OPEN,"Define a constant instead of duplicating this literal ""Messages or prompt must be provided."" 4 times.",8min,8min,1073931273@qq.com,['design'],2025-03-10T11:48:08,2025-03-10T11:48:08,CODE_SMELL,MAIN,False,[],[],DISTINCT,ADAPTABLE,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'HIGH'}]",OPEN,False,,
8,d2efea82-21da-47ab-b783-4d4c0afd700c,python:S1135,INFO,apache-incubator-hugegraph-ai:hugegraph-llm/src/hugegraph_llm/operators/hugegraph_op/graph_rag_query.py,apache-incubator-hugegraph-ai,242.0,6e832047ac9cd00cf651058502538aee,"{'startLine': 242, 'endLine': 242, 'startOffset': 4, 'endOffset': 73}",[],OPEN,"Complete the task associated to this ""TODO"" comment.",0min,0min,jin@apache.org,['cwe'],2025-03-10T11:48:08,2025-03-10T11:48:08,CODE_SMELL,MAIN,False,[],[],COMPLETE,INTENTIONAL,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]",OPEN,False,,
9,228e1aea-043f-4423-afed-910ec436f70a,python:S1134,MAJOR,apache-incubator-hugegraph-ai:hugegraph-llm/src/hugegraph_llm/operators/llm_op/answer_synthesize.py,apache-incubator-hugegraph-ai,257.0,ac7fc4fc7c09b8ca8107bd5e8fbd0330,"{'startLine': 257, 'endLine': 257, 'startOffset': 8, 'endOffset': 108}",[],OPEN,"Take the required action to fix the issue indicated by this ""FIXME"" comment.",0min,0min,1073931273@qq.com,['cwe'],2025-03-10T11:48:08,2025-03-10T11:48:08,CODE_SMELL,MAIN,False,[],[],COMPLETE,INTENTIONAL,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'MEDIUM'}]",OPEN,False,,
