,key,rule,severity,component,project,line,hash,textRange,flows,status,message,effort,debt,author,tags,creationDate,updateDate,type,scope,quickFixAvailable,messageFormattings,codeVariants,cleanCodeAttribute,cleanCodeAttributeCategory,impacts,issueStatus,prioritizedRule,resolution,closeDate
0,90bca325-83e5-424c-a0df-94407e982b15,python:S3776,CRITICAL,apache-infrastructure-asfyaml:asfyaml/asfyaml.py,apache-infrastructure-asfyaml,65.0,924988df5bfbb46f89d0a9cd4de0b21c,"{'startLine': 65, 'endLine': 65, 'startOffset': 8, 'endOffset': 16}","[{'locations': [{'component': 'apache-infrastructure-asfyaml:asfyaml/asfyaml.py', 'textRange': {'startLine': 68, 'endLine': 68, 'startOffset': 8, 'endOffset': 10}, 'msg': '+1', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-infrastructure-asfyaml:asfyaml/asfyaml.py', 'textRange': {'startLine': 68, 'endLine': 68, 'startOffset': 18, 'endOffset': 21}, 'msg': '+1', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-infrastructure-asfyaml:asfyaml/asfyaml.py', 'textRange': {'startLine': 70, 'endLine': 70, 'startOffset': 8, 'endOffset': 12}, 'msg': '+1', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-infrastructure-asfyaml:asfyaml/asfyaml.py', 'textRange': {'startLine': 76, 'endLine': 76, 'startOffset': 8, 'endOffset': 14}, 'msg': '+1', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-infrastructure-asfyaml:asfyaml/asfyaml.py', 'textRange': {'startLine': 87, 'endLine': 87, 'startOffset': 8, 'endOffset': 10}, 'msg': '+1', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-infrastructure-asfyaml:asfyaml/asfyaml.py', 'textRange': {'startLine': 90, 'endLine': 90, 'startOffset': 12, 'endOffset': 14}, 'msg': '+2 (incl 1 for nesting)', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-infrastructure-asfyaml:asfyaml/asfyaml.py', 'textRange': {'startLine': 100, 'endLine': 100, 'startOffset': 12, 'endOffset': 14}, 'msg': '+2 (incl 1 for nesting)', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-infrastructure-asfyaml:asfyaml/asfyaml.py', 'textRange': {'startLine': 101, 'endLine': 101, 'startOffset': 16, 'endOffset': 19}, 'msg': '+3 (incl 2 for nesting)', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-infrastructure-asfyaml:asfyaml/asfyaml.py', 'textRange': {'startLine': 104, 'endLine': 104, 'startOffset': 8, 'endOffset': 10}, 'msg': '+1', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-infrastructure-asfyaml:asfyaml/asfyaml.py', 'textRange': {'startLine': 139, 'endLine': 139, 'startOffset': 8, 'endOffset': 11}, 'msg': '+1', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-infrastructure-asfyaml:asfyaml/asfyaml.py', 'textRange': {'startLine': 140, 'endLine': 140, 'startOffset': 12, 'endOffset': 15}, 'msg': '+2 (incl 1 for nesting)', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-infrastructure-asfyaml:asfyaml/asfyaml.py', 'textRange': {'startLine': 141, 'endLine': 141, 'startOffset': 16, 'endOffset': 18}, 'msg': '+3 (incl 2 for nesting)', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-infrastructure-asfyaml:asfyaml/asfyaml.py', 'textRange': {'startLine': 143, 'endLine': 143, 'startOffset': 8, 'endOffset': 10}, 'msg': '+1', 'msgFormattings': []}]}]",OPEN,Refactor this function to reduce its Cognitive Complexity from 20 to the 15 allowed.,10min,10min,tn@apache.org,['brain-overload'],2025-03-17T08:16:18,2025-03-17T08:16:18,CODE_SMELL,MAIN,False,[],[],FOCUSED,ADAPTABLE,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'HIGH'}]",OPEN,False,,
1,aa441628-b9c3-46dd-8421-bba0dbbacba3,python:S112,MAJOR,apache-infrastructure-asfyaml:asfyaml/cli.py,apache-infrastructure-asfyaml,58.0,581477db8ca000655dc35f4766473b4d,"{'startLine': 58, 'endLine': 60, 'startOffset': 14, 'endOffset': 9}",[],OPEN,Replace this generic exception class with a more specific one.,20min,20min,tn@apache.org,"['cwe', 'error-handling']",2025-03-17T08:16:18,2025-03-17T08:16:18,CODE_SMELL,MAIN,False,[],[],COMPLETE,INTENTIONAL,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'MEDIUM'}]",OPEN,False,,
2,a603f1b3-7132-48a2-866c-02a6fd1a58f0,python:S112,MAJOR,apache-infrastructure-asfyaml:asfyaml/feature/github/merge_buttons.py,apache-infrastructure-asfyaml,69.0,581477db8ca000655dc35f4766473b4d,"{'startLine': 69, 'endLine': 72, 'startOffset': 18, 'endOffset': 13}",[],OPEN,Replace this generic exception class with a more specific one.,20min,20min,tn@apache.org,"['cwe', 'error-handling']",2025-03-17T08:16:18,2025-03-17T08:16:18,CODE_SMELL,MAIN,False,[],[],COMPLETE,INTENTIONAL,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'MEDIUM'}]",OPEN,False,,
3,6c5d2850-c6c6-45e5-81a5-b851bce0492d,python:S112,MAJOR,apache-infrastructure-asfyaml:asfyaml/feature/github/merge_buttons.py,apache-infrastructure-asfyaml,100.0,581477db8ca000655dc35f4766473b4d,"{'startLine': 100, 'endLine': 103, 'startOffset': 18, 'endOffset': 13}",[],OPEN,Replace this generic exception class with a more specific one.,20min,20min,tn@apache.org,"['cwe', 'error-handling']",2025-03-17T08:16:18,2025-03-17T08:16:18,CODE_SMELL,MAIN,False,[],[],COMPLETE,INTENTIONAL,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'MEDIUM'}]",OPEN,False,,
4,46eee53f-e4dc-4315-bc15-eb7d87001c7b,python:S5864,MAJOR,apache-infrastructure-asfyaml:asfyaml/feature/notifications.py,apache-infrastructure-asfyaml,117.0,ec6297b9f6c00476fd751ada2ac1b6dc,"{'startLine': 117, 'endLine': 117, 'startOffset': 12, 'endOffset': 30}",[],OPEN,"Fix this ""__setitem__"" operation; Previous type checks suggest that this expression does not have this method.",5min,5min,humbedooh@apache.org,"['typing', 'confusing']",2025-03-17T08:16:18,2025-03-17T08:16:18,CODE_SMELL,MAIN,False,[],[],CLEAR,INTENTIONAL,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'MEDIUM'}]",OPEN,False,,
5,7908b4ea-9c56-407f-88ef-85b70340d62b,python:S125,MAJOR,apache-infrastructure-asfyaml:asfyaml/feature/github/branch_protection.py,apache-infrastructure-asfyaml,,0671185eebd77ee40695396410d410c1,"{'startLine': 97, 'endLine': 97, 'startOffset': 16, 'endOffset': 84}",[],CLOSED,Remove this commented out code.,5min,5min,humbedooh@apache.org,['unused'],2025-03-06T12:26:09,2025-03-17T08:16:18,CODE_SMELL,MAIN,False,[],[],CLEAR,INTENTIONAL,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'MEDIUM'}]",FIXED,False,FIXED,2025-03-17T08:16:18
6,27c305de-8ab8-488c-b174-52c5407346ae,python:S3457,MAJOR,apache-infrastructure-asfyaml:asfyaml/feature/github/__init__.py,apache-infrastructure-asfyaml,,640c5d5f37f961a05bdc9daa0ef7260f,"{'startLine': 117, 'endLine': 117, 'startOffset': 18, 'endOffset': 112}",[],CLOSED,Add replacement fields or use a normal string instead of an f-string.,1min,1min,humbedooh@apache.org,['confusing'],2025-02-17T15:08:40,2025-03-17T08:16:18,CODE_SMELL,MAIN,False,[],[],LOGICAL,INTENTIONAL,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'MEDIUM'}]",FIXED,False,FIXED,2025-03-17T08:16:18
7,c66eaa9c-c69d-4358-8d54-b0821e26cc82,python:S3776,CRITICAL,apache-infrastructure-asfyaml:asfyaml/feature/github/__init__.py,apache-infrastructure-asfyaml,153.0,ec227b0544ae49167c5934f4f717fe97,"{'startLine': 153, 'endLine': 153, 'startOffset': 8, 'endOffset': 11}","[{'locations': [{'component': 'apache-infrastructure-asfyaml:asfyaml/feature/github/__init__.py', 'textRange': {'startLine': 156, 'endLine': 156, 'startOffset': 8, 'endOffset': 10}, 'msg': '+1', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-infrastructure-asfyaml:asfyaml/feature/github/__init__.py', 'textRange': {'startLine': 165, 'endLine': 165, 'startOffset': 8, 'endOffset': 10}, 'msg': '+1', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-infrastructure-asfyaml:asfyaml/feature/github/__init__.py', 'textRange': {'startLine': 167, 'endLine': 167, 'startOffset': 16, 'endOffset': 18}, 'msg': '+2 (incl 1 for nesting)', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-infrastructure-asfyaml:asfyaml/feature/github/__init__.py', 'textRange': {'startLine': 170, 'endLine': 170, 'startOffset': 20, 'endOffset': 22}, 'msg': '+3 (incl 2 for nesting)', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-infrastructure-asfyaml:asfyaml/feature/github/__init__.py', 'textRange': {'startLine': 171, 'endLine': 171, 'startOffset': 24, 'endOffset': 26}, 'msg': '+4 (incl 3 for nesting)', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-infrastructure-asfyaml:asfyaml/feature/github/__init__.py', 'textRange': {'startLine': 174, 'endLine': 174, 'startOffset': 12, 'endOffset': 18}, 'msg': '+2 (incl 1 for nesting)', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-infrastructure-asfyaml:asfyaml/feature/github/__init__.py', 'textRange': {'startLine': 180, 'endLine': 180, 'startOffset': 8, 'endOffset': 10}, 'msg': '+1', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-infrastructure-asfyaml:asfyaml/feature/github/__init__.py', 'textRange': {'startLine': 182, 'endLine': 182, 'startOffset': 12, 'endOffset': 14}, 'msg': '+2 (incl 1 for nesting)', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-infrastructure-asfyaml:asfyaml/feature/github/__init__.py', 'textRange': {'startLine': 187, 'endLine': 187, 'startOffset': 8, 'endOffset': 12}, 'msg': '+1', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-infrastructure-asfyaml:asfyaml/feature/github/__init__.py', 'textRange': {'startLine': 192, 'endLine': 192, 'startOffset': 8, 'endOffset': 11}, 'msg': '+1', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-infrastructure-asfyaml:asfyaml/feature/github/__init__.py', 'textRange': {'startLine': 196, 'endLine': 196, 'startOffset': 8, 'endOffset': 10}, 'msg': '+1', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-infrastructure-asfyaml:asfyaml/feature/github/__init__.py', 'textRange': {'startLine': 199, 'endLine': 199, 'startOffset': 8, 'endOffset': 12}, 'msg': '+1', 'msgFormattings': []}]}]",OPEN,Refactor this function to reduce its Cognitive Complexity from 20 to the 15 allowed.,10min,10min,tn@apache.org,['brain-overload'],2025-02-17T15:08:40,2025-02-24T08:50:14,CODE_SMELL,MAIN,False,[],[],FOCUSED,ADAPTABLE,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'HIGH'}]",OPEN,False,,
8,899bab74-e41b-4776-b705-989a29ce9bc8,python:S112,MAJOR,apache-infrastructure-asfyaml:asfyaml/feature/github/merge_buttons.py,apache-infrastructure-asfyaml,,d44189d3e8744dc336ed79485972be14,"{'startLine': 66, 'endLine': 67, 'startOffset': 18, 'endOffset': 106}",[],CLOSED,Replace this generic exception class with a more specific one.,20min,20min,tn@apache.org,"['cwe', 'error-handling']",2025-02-17T15:08:40,2025-03-17T08:16:18,CODE_SMELL,MAIN,False,[],[],COMPLETE,INTENTIONAL,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'MEDIUM'}]",FIXED,False,FIXED,2025-03-17T08:16:18
9,a58b3477-de80-46c8-9a97-fa7c1f79275d,python:S112,MAJOR,apache-infrastructure-asfyaml:asfyaml/feature/github/merge_buttons.py,apache-infrastructure-asfyaml,,e1dca970f45a4a616f49bb59ba9547cc,"{'startLine': 92, 'endLine': 93, 'startOffset': 18, 'endOffset': 75}",[],CLOSED,Replace this generic exception class with a more specific one.,20min,20min,tn@apache.org,"['cwe', 'error-handling']",2025-02-17T15:08:40,2025-03-17T08:16:18,CODE_SMELL,MAIN,False,[],[],COMPLETE,INTENTIONAL,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'MEDIUM'}]",FIXED,False,FIXED,2025-03-17T08:16:18
