,key,rule,severity,component,project,line,hash,textRange,flows,status,message,effort,debt,author,tags,creationDate,updateDate,type,scope,quickFixAvailable,messageFormattings,codeVariants,cleanCodeAttribute,cleanCodeAttributeCategory,impacts,issueStatus,prioritizedRule,resolution,closeDate
0,9581c905-4d98-4461-927a-3b170ad53ab9,python:S1481,MINOR,apache-infrastructure-gha-workflow-scanner:tests/scanner.py,apache-infrastructure-gha-workflow-scanner,14.0,59d5099c18a9664e11cc9ba57f93dbda,"{'startLine': 14, 'endLine': 14, 'startOffset': 4, 'endOffset': 9}",[],OPEN,"Remove the unused local variable ""token"".",5min,5min,dfoulks@apache.org,['unused'],2025-02-26T13:43:34,2025-02-26T13:43:34,CODE_SMELL,MAIN,False,[],[],CLEAR,INTENTIONAL,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]",OPEN,False,,
1,16454918-ca38-49fb-9e0e-ec0b42b6e8a0,python:S1135,INFO,apache-infrastructure-gha-workflow-scanner:gha_scanner/__init__.py,apache-infrastructure-gha-workflow-scanner,153.0,341603227339ebc3977223a90b57eff7,"{'startLine': 153, 'endLine': 153, 'startOffset': 8, 'endOffset': 68}",[],OPEN,"Complete the task associated to this ""TODO"" comment.",0min,0min,dfoulks@apache.org,['cwe'],2025-02-03T18:56:15,2025-02-03T18:56:15,CODE_SMELL,MAIN,False,[],[],COMPLETE,INTENTIONAL,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]",OPEN,False,,
2,f47dbbb6-6d70-441d-8778-49f305a64c0b,python:S1135,INFO,apache-infrastructure-gha-workflow-scanner:tests/scanner.py,apache-infrastructure-gha-workflow-scanner,26.0,b1786b1d31675149906d6321769546de,"{'startLine': 26, 'endLine': 26, 'startOffset': 0, 'endOffset': 68}",[],OPEN,"Complete the task associated to this ""TODO"" comment.",0min,0min,dfoulks@apache.org,['cwe'],2024-11-13T14:28:41,2024-11-13T14:28:41,CODE_SMELL,MAIN,False,[],[],COMPLETE,INTENTIONAL,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]",OPEN,False,,
3,6cb165bf-f158-4c57-af2a-a25419d7ca85,python:S1700,MAJOR,apache-infrastructure-gha-workflow-scanner:gha_scanner/__init__.py,apache-infrastructure-gha-workflow-scanner,19.0,fbfa11b68b2fc92465904aace4c3c860,"{'startLine': 19, 'endLine': 19, 'startOffset': 13, 'endOffset': 16}","[{'locations': [{'component': 'apache-infrastructure-gha-workflow-scanner:gha_scanner/__init__.py', 'textRange': {'startLine': 16, 'endLine': 16, 'startOffset': 6, 'endOffset': 9}, 'msg': 'Class declaration', 'msgFormattings': []}]}]",OPEN,"Rename field ""log""",10min,10min,dfoulks@apache.org,['brain-overload'],2024-04-08T16:58:16,2024-04-08T16:58:16,CODE_SMELL,MAIN,False,[],[],IDENTIFIABLE,CONSISTENT,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'MEDIUM'}]",OPEN,False,,
4,b97615e5-a09b-4335-a55c-4cf4179b3122,python:S1192,CRITICAL,apache-infrastructure-gha-workflow-scanner:tests/data.py,apache-infrastructure-gha-workflow-scanner,61.0,2aa65f86763c2433b591cb2de8a8ec84,"{'startLine': 61, 'endLine': 61, 'startOffset': 26, 'endOffset': 100}","[{'locations': [{'component': 'apache-infrastructure-gha-workflow-scanner:tests/data.py', 'textRange': {'startLine': 70, 'endLine': 70, 'startOffset': 26, 'endOffset': 100}, 'msg': 'Duplication', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-infrastructure-gha-workflow-scanner:tests/data.py', 'textRange': {'startLine': 79, 'endLine': 79, 'startOffset': 26, 'endOffset': 100}, 'msg': 'Duplication', 'msgFormattings': []}]}]",OPEN,"Define a constant instead of duplicating this literal ""(github.event.action == 'opened' ||\n github.event.action == 'edited')\n"" 3 times.",6min,6min,dfoulks@apache.org,['design'],2024-04-08T16:58:16,2024-04-08T16:58:16,CODE_SMELL,MAIN,False,[],[],DISTINCT,ADAPTABLE,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'HIGH'}]",OPEN,False,,
5,ea6e3ede-e66b-4744-b6cc-ff63e6380db3,python:S1192,CRITICAL,apache-infrastructure-gha-workflow-scanner:tests/data.py,apache-infrastructure-gha-workflow-scanner,62.0,9f4ed6b7eca1db663192158476341df0,"{'startLine': 62, 'endLine': 62, 'startOffset': 28, 'endOffset': 92}","[{'locations': [{'component': 'apache-infrastructure-gha-workflow-scanner:tests/data.py', 'textRange': {'startLine': 71, 'endLine': 71, 'startOffset': 28, 'endOffset': 92}, 'msg': 'Duplication', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-infrastructure-gha-workflow-scanner:tests/data.py', 'textRange': {'startLine': 80, 'endLine': 80, 'startOffset': 28, 'endOffset': 92}, 'msg': 'Duplication', 'msgFormattings': []}]}]",OPEN,"Define a constant instead of duplicating this literal ""actions/github-script@60a0d83039c74a4aee543508d2ffcb1c3799cdea"" 3 times.",6min,6min,dfoulks@apache.org,['design'],2024-04-08T16:58:16,2024-04-08T16:58:16,CODE_SMELL,MAIN,False,[],[],DISTINCT,ADAPTABLE,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'HIGH'}]",OPEN,False,,
6,94e97d82-e301-4852-b25c-7ce3c70c0799,python:S1192,CRITICAL,apache-infrastructure-gha-workflow-scanner:tests/data.py,apache-infrastructure-gha-workflow-scanner,64.0,5f897bd6b8bb323090fcecb8e66a98ef,"{'startLine': 64, 'endLine': 64, 'startOffset': 40, 'endOffset': 69}","[{'locations': [{'component': 'apache-infrastructure-gha-workflow-scanner:tests/data.py', 'textRange': {'startLine': 73, 'endLine': 73, 'startOffset': 40, 'endOffset': 69}, 'msg': 'Duplication', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-infrastructure-gha-workflow-scanner:tests/data.py', 'textRange': {'startLine': 83, 'endLine': 83, 'startOffset': 40, 'endOffset': 69}, 'msg': 'Duplication', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-infrastructure-gha-workflow-scanner:tests/data.py', 'textRange': {'startLine': 92, 'endLine': 92, 'startOffset': 38, 'endOffset': 67}, 'msg': 'Duplication', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-infrastructure-gha-workflow-scanner:tests/data.py', 'textRange': {'startLine': 183, 'endLine': 183, 'startOffset': 44, 'endOffset': 73}, 'msg': 'Duplication', 'msgFormattings': []}]}]",OPEN,"Define a constant instead of duplicating this literal ""${{ secrets.GITHUB_TOKEN }}"" 5 times.",10min,10min,dfoulks@apache.org,['design'],2024-04-08T16:58:16,2024-04-08T16:58:16,CODE_SMELL,MAIN,False,[],[],DISTINCT,ADAPTABLE,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'HIGH'}]",OPEN,False,,
7,c821034d-68ca-4b64-bf29-e5408cea28b8,python:S1192,CRITICAL,apache-infrastructure-gha-workflow-scanner:tests/data.py,apache-infrastructure-gha-workflow-scanner,140.0,99704e31303aab5c179fcb1953e3f614,"{'startLine': 140, 'endLine': 140, 'startOffset': 26, 'endOffset': 66}","[{'locations': [{'component': 'apache-infrastructure-gha-workflow-scanner:tests/data.py', 'textRange': {'startLine': 151, 'endLine': 151, 'startOffset': 26, 'endOffset': 66}, 'msg': 'Duplication', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-infrastructure-gha-workflow-scanner:tests/data.py', 'textRange': {'startLine': 156, 'endLine': 156, 'startOffset': 26, 'endOffset': 66}, 'msg': 'Duplication', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-infrastructure-gha-workflow-scanner:tests/data.py', 'textRange': {'startLine': 161, 'endLine': 161, 'startOffset': 26, 'endOffset': 66}, 'msg': 'Duplication', 'msgFormattings': []}]}]",OPEN,"Define a constant instead of duplicating this literal ""steps.filter.outputs.changed == 'True'"" 4 times.",8min,8min,dfoulks@apache.org,['design'],2024-04-08T16:58:16,2024-04-08T16:58:16,CODE_SMELL,MAIN,False,[],[],DISTINCT,ADAPTABLE,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'HIGH'}]",OPEN,False,,
8,16b94a66-66e0-49d2-b636-580396f6d859,python:S1192,CRITICAL,apache-infrastructure-gha-workflow-scanner:tests/data.py,apache-infrastructure-gha-workflow-scanner,331.0,f88fd637e3d52e5cae66124590b2a110,"{'startLine': 331, 'endLine': 331, 'startOffset': 26, 'endOffset': 57}","[{'locations': [{'component': 'apache-infrastructure-gha-workflow-scanner:tests/data.py', 'textRange': {'startLine': 511, 'endLine': 511, 'startOffset': 26, 'endOffset': 57}, 'msg': 'Duplication', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-infrastructure-gha-workflow-scanner:tests/data.py', 'textRange': {'startLine': 535, 'endLine': 535, 'startOffset': 26, 'endOffset': 57}, 'msg': 'Duplication', 'msgFormattings': []}]}]",OPEN,"Define a constant instead of duplicating this literal ""2024-03-04T16:27:03.000-05:00"" 3 times.",6min,6min,dfoulks@apache.org,['design'],2024-04-08T16:58:16,2024-04-08T16:58:16,CODE_SMELL,MAIN,False,[],[],DISTINCT,ADAPTABLE,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'HIGH'}]",OPEN,False,,
9,0781fa0d-f8a7-41b6-a6ac-bd11488dc692,python:S3776,CRITICAL,apache-infrastructure-gha-workflow-scanner:gha_policy_scanner.py,apache-infrastructure-gha-workflow-scanner,,faf5ad62370cbd8d03d9cc32500f8e35,"{'startLine': 173, 'endLine': 173, 'startOffset': 8, 'endOffset': 15}","[{'locations': [{'component': 'apache-infrastructure-gha-workflow-scanner:gha_policy_scanner.py', 'textRange': {'startLine': 183, 'endLine': 183, 'startOffset': 8, 'endOffset': 10}, 'msg': '+1', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-infrastructure-gha-workflow-scanner:gha_policy_scanner.py', 'textRange': {'startLine': 188, 'endLine': 188, 'startOffset': 12, 'endOffset': 14}, 'msg': '+2 (incl 1 for nesting)', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-infrastructure-gha-workflow-scanner:gha_policy_scanner.py', 'textRange': {'startLine': 189, 'endLine': 189, 'startOffset': 16, 'endOffset': 18}, 'msg': '+3 (incl 2 for nesting)', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-infrastructure-gha-workflow-scanner:gha_policy_scanner.py', 'textRange': {'startLine': 192, 'endLine': 192, 'startOffset': 20, 'endOffset': 23}, 'msg': '+4 (incl 3 for nesting)', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-infrastructure-gha-workflow-scanner:gha_policy_scanner.py', 'textRange': {'startLine': 199, 'endLine': 199, 'startOffset': 16, 'endOffset': 20}, 'msg': '+1', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-infrastructure-gha-workflow-scanner:gha_policy_scanner.py', 'textRange': {'startLine': 202, 'endLine': 202, 'startOffset': 12, 'endOffset': 16}, 'msg': '+1', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-infrastructure-gha-workflow-scanner:gha_policy_scanner.py', 'textRange': {'startLine': 206, 'endLine': 206, 'startOffset': 12, 'endOffset': 14}, 'msg': '+2 (incl 1 for nesting)', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-infrastructure-gha-workflow-scanner:gha_policy_scanner.py', 'textRange': {'startLine': 217, 'endLine': 217, 'startOffset': 12, 'endOffset': 16}, 'msg': '+1', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-infrastructure-gha-workflow-scanner:gha_policy_scanner.py', 'textRange': {'startLine': 219, 'endLine': 219, 'startOffset': 8, 'endOffset': 12}, 'msg': '+1', 'msgFormattings': []}]}]",CLOSED,Refactor this function to reduce its Cognitive Complexity from 16 to the 15 allowed.,6min,6min,dfoulks@apache.org,['brain-overload'],2024-03-25T13:03:18,2024-04-01T17:50:53,CODE_SMELL,MAIN,False,[],[],FOCUSED,ADAPTABLE,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'HIGH'}]",FIXED,False,FIXED,2024-04-01T17:50:53
