,key,rule,severity,component,project,line,hash,textRange,flows,status,message,effort,debt,author,tags,creationDate,updateDate,type,scope,quickFixAvailable,messageFormattings,codeVariants,cleanCodeAttribute,cleanCodeAttributeCategory,impacts,issueStatus,prioritizedRule,resolution,closeDate
0,79e86ab1-b2f6-4892-8868-9fb71fbe3a19,python:S1940,MINOR,apache-openserverless-operator:actions/login/__main__.py,apache-openserverless-operator,65.0,a1d45c0c54a8367a6be8a1604b42c181,"{'startLine': 65, 'endLine': 65, 'startOffset': 11, 'endOffset': 33}",[],OPEN,"Use the opposite operator (""not in"") instead.",2min,2min,d4rkstar@gmail.com,['pitfall'],2025-02-02T21:55:36,2025-02-02T21:55:36,CODE_SMELL,MAIN,False,[],[],CONVENTIONAL,CONSISTENT,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]",OPEN,False,,
1,e082228a-7620-4bd9-ab48-5c410f4a034e,python:S1192,CRITICAL,apache-openserverless-operator:nuvolaris/milvus_standalone.py,apache-openserverless-operator,50.0,9c09c24e35d6c8e367404ccb58d4d424,"{'startLine': 50, 'endLine': 50, 'startOffset': 79, 'endOffset': 103}","[{'locations': [{'component': 'apache-openserverless-operator:nuvolaris/milvus_standalone.py', 'textRange': {'startLine': 55, 'endLine': 55, 'startOffset': 89, 'endOffset': 113}, 'msg': 'Duplication', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-openserverless-operator:nuvolaris/milvus_standalone.py', 'textRange': {'startLine': 60, 'endLine': 60, 'startOffset': 94, 'endOffset': 118}, 'msg': 'Duplication', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-openserverless-operator:nuvolaris/milvus_standalone.py', 'textRange': {'startLine': 65, 'endLine': 65, 'startOffset': 94, 'endOffset': 118}, 'msg': 'Duplication', 'msgFormattings': []}]}]",OPEN,"Define a constant instead of duplicating this literal ""/spec/storageClassName"" 4 times.",8min,8min,d4rkstar@gmail.com,['design'],2025-02-02T21:55:36,2025-02-02T21:55:36,CODE_SMELL,MAIN,False,[],[],DISTINCT,ADAPTABLE,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'HIGH'}]",OPEN,False,,
2,ab635597-00cb-481f-941b-eef94a74c65f,python:S1192,CRITICAL,apache-openserverless-operator:nuvolaris/milvus_standalone.py,apache-openserverless-operator,52.0,e4142659a78adacc959ed191a0f4570e,"{'startLine': 52, 'endLine': 52, 'startOffset': 79, 'endOffset': 113}","[{'locations': [{'component': 'apache-openserverless-operator:nuvolaris/milvus_standalone.py', 'textRange': {'startLine': 58, 'endLine': 58, 'startOffset': 34, 'endOffset': 68}, 'msg': 'Duplication', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-openserverless-operator:nuvolaris/milvus_standalone.py', 'textRange': {'startLine': 63, 'endLine': 63, 'startOffset': 34, 'endOffset': 68}, 'msg': 'Duplication', 'msgFormattings': []}]}, {'locations': [{'component': 'apache-openserverless-operator:nuvolaris/milvus_standalone.py', 'textRange': {'startLine': 68, 'endLine': 68, 'startOffset': 34, 'endOffset': 68}, 'msg': 'Duplication', 'msgFormattings': []}]}]",OPEN,"Define a constant instead of duplicating this literal ""/spec/resources/requests/storage"" 4 times.",8min,8min,d4rkstar@gmail.com,['design'],2025-02-02T21:55:36,2025-02-02T21:55:36,CODE_SMELL,MAIN,False,[],[],DISTINCT,ADAPTABLE,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'HIGH'}]",OPEN,False,,
3,742ecbcb-38a4-40c3-ab2e-c9b133a075c3,python:S125,MAJOR,apache-openserverless-operator:nuvolaris/milvus_admin_client.py,apache-openserverless-operator,37.0,931b7edcbc58f607d9ea909e01ee6554,"{'startLine': 37, 'endLine': 37, 'startOffset': 8, 'endOffset': 116}",[],OPEN,Remove this commented out code.,5min,5min,d4rkstar@gmail.com,['unused'],2025-01-21T06:39:13,2025-01-21T06:39:13,CODE_SMELL,MAIN,False,[],[],CLEAR,INTENTIONAL,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'MEDIUM'}]",OPEN,False,,
4,28bb70e2-8e1d-463a-97f7-c2db1902d2db,python:S3457,MAJOR,apache-openserverless-operator:nuvolaris/milvus_simple_client.py,apache-openserverless-operator,186.0,8d60f9924148ed1139c986e8d84e4708,"{'startLine': 186, 'endLine': 186, 'startOffset': 29, 'endOffset': 56}",[],OPEN,Add replacement fields or use a normal string instead of an f-string.,1min,1min,d4rkstar@gmail.com,['confusing'],2025-01-21T06:39:13,2025-01-21T06:39:13,CODE_SMELL,MAIN,False,[],[],LOGICAL,INTENTIONAL,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'MEDIUM'}]",OPEN,False,,
5,53bd60f0-65ac-493f-b97b-162a6c0d5f99,python:S3457,MAJOR,apache-openserverless-operator:nuvolaris/milvus_simple_client.py,apache-openserverless-operator,198.0,433b8c0ab266c2edcf151c9472257e6b,"{'startLine': 198, 'endLine': 198, 'startOffset': 29, 'endOffset': 57}",[],OPEN,Add replacement fields or use a normal string instead of an f-string.,1min,1min,d4rkstar@gmail.com,['confusing'],2025-01-21T06:39:13,2025-01-21T06:39:13,CODE_SMELL,MAIN,False,[],[],LOGICAL,INTENTIONAL,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'MEDIUM'}]",OPEN,False,,
6,fb2b53ec-5c14-4405-a234-a1a07d6d2a0c,python:S125,MAJOR,apache-openserverless-operator:nuvolaris/milvus_admin_client.py,apache-openserverless-operator,21.0,7cd607a7b44b2eec138a17f5fee83343,"{'startLine': 21, 'endLine': 21, 'startOffset': 0, 'endOffset': 53}",[],OPEN,Remove this commented out code.,5min,5min,d4rkstar@gmail.com,['unused'],2025-01-06T12:04:05,2025-01-06T12:04:05,CODE_SMELL,MAIN,False,[],[],CLEAR,INTENTIONAL,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'MEDIUM'}]",OPEN,False,,
7,1df9ad09-96a0-42a1-836e-a6210703a147,docker:S7029,MAJOR,apache-openserverless-operator:Dockerfile,apache-openserverless-operator,28.0,1c9dca70d62ebeb0d25b88608e87ab1a,"{'startLine': 28, 'endLine': 28, 'startOffset': 0, 'endOffset': 73}",[],OPEN,Replace this ADD instruction with a COPY instruction.,5min,5min,d4rkstar@gmail.com,[],2024-12-30T12:25:39,2024-12-30T12:25:39,CODE_SMELL,MAIN,False,[],[],CONVENTIONAL,CONSISTENT,"[{'softwareQuality': 'SECURITY', 'severity': 'LOW'}, {'softwareQuality': 'RELIABILITY', 'severity': 'MEDIUM'}, {'softwareQuality': 'MAINTAINABILITY', 'severity': 'MEDIUM'}]",OPEN,False,,
8,214eb8ec-255e-4ba9-bf69-ae47bb451ce8,docker:S7029,MAJOR,apache-openserverless-operator:Dockerfile,apache-openserverless-operator,29.0,ac9cc196b9635a0b265437e734b63bdc,"{'startLine': 29, 'endLine': 29, 'startOffset': 0, 'endOffset': 79}",[],OPEN,Replace this ADD instruction with a COPY instruction.,5min,5min,d4rkstar@gmail.com,[],2024-12-30T12:25:39,2024-12-30T12:25:39,CODE_SMELL,MAIN,False,[],[],CONVENTIONAL,CONSISTENT,"[{'softwareQuality': 'SECURITY', 'severity': 'LOW'}, {'softwareQuality': 'RELIABILITY', 'severity': 'MEDIUM'}, {'softwareQuality': 'MAINTAINABILITY', 'severity': 'MEDIUM'}]",OPEN,False,,
9,03ef531c-40d2-4ad6-987b-5f34e0ce3391,docker:S7029,MAJOR,apache-openserverless-operator:Dockerfile,apache-openserverless-operator,30.0,209d06c8f605f0992d3b8c6a1bfbaed7,"{'startLine': 30, 'endLine': 30, 'startOffset': 0, 'endOffset': 87}",[],OPEN,Replace this ADD instruction with a COPY instruction.,5min,5min,d4rkstar@gmail.com,[],2024-12-30T12:25:39,2024-12-30T12:25:39,CODE_SMELL,MAIN,False,[],[],CONVENTIONAL,CONSISTENT,"[{'softwareQuality': 'SECURITY', 'severity': 'LOW'}, {'softwareQuality': 'RELIABILITY', 'severity': 'MEDIUM'}, {'softwareQuality': 'MAINTAINABILITY', 'severity': 'MEDIUM'}]",OPEN,False,,
10,2741df88-cfd4-405f-b4c6-b355ea654667,docker:S7029,MAJOR,apache-openserverless-operator:Dockerfile,apache-openserverless-operator,31.0,00463684f259b0baf8253ae3d3613f71,"{'startLine': 31, 'endLine': 31, 'startOffset': 0, 'endOffset': 85}",[],OPEN,Replace this ADD instruction with a COPY instruction.,5min,5min,d4rkstar@gmail.com,[],2024-12-30T12:25:39,2024-12-30T12:25:39,CODE_SMELL,MAIN,False,[],[],CONVENTIONAL,CONSISTENT,"[{'softwareQuality': 'SECURITY', 'severity': 'LOW'}, {'softwareQuality': 'RELIABILITY', 'severity': 'MEDIUM'}, {'softwareQuality': 'MAINTAINABILITY', 'severity': 'MEDIUM'}]",OPEN,False,,
11,0d645ed2-affe-40a6-ba89-9653ba9e30ef,docker:S7029,MAJOR,apache-openserverless-operator:Dockerfile,apache-openserverless-operator,32.0,66f16332fd9ddf0e11ea0c3753412f2e,"{'startLine': 32, 'endLine': 32, 'startOffset': 0, 'endOffset': 99}",[],OPEN,Replace this ADD instruction with a COPY instruction.,5min,5min,d4rkstar@gmail.com,[],2024-12-30T12:25:39,2024-12-30T12:25:39,CODE_SMELL,MAIN,False,[],[],CONVENTIONAL,CONSISTENT,"[{'softwareQuality': 'SECURITY', 'severity': 'LOW'}, {'softwareQuality': 'RELIABILITY', 'severity': 'MEDIUM'}, {'softwareQuality': 'MAINTAINABILITY', 'severity': 'MEDIUM'}]",OPEN,False,,
12,afd79d3a-6486-46db-9212-57b07a58da81,docker:S7029,MAJOR,apache-openserverless-operator:Dockerfile,apache-openserverless-operator,33.0,e1206348dad69b09b1bdbae2d6d45487,"{'startLine': 33, 'endLine': 33, 'startOffset': 0, 'endOffset': 105}",[],OPEN,Replace this ADD instruction with a COPY instruction.,5min,5min,d4rkstar@gmail.com,[],2024-12-30T12:25:39,2024-12-30T12:25:39,CODE_SMELL,MAIN,False,[],[],CONVENTIONAL,CONSISTENT,"[{'softwareQuality': 'SECURITY', 'severity': 'LOW'}, {'softwareQuality': 'RELIABILITY', 'severity': 'MEDIUM'}, {'softwareQuality': 'MAINTAINABILITY', 'severity': 'MEDIUM'}]",OPEN,False,,
